Z,el,A,N,delr2,Deldelr2,R,DelR,DelRrel,R2N,DelR2N,R2Z,DelR2Z
28,,64,36,0.33799999999999997,0.01,3.8572,0.0023,0.0013,0.017300000000000093,0.0031144823004794872,,
29,Cu,63,34,,,3.8823,0.0015,,,,,
29,,65,36,,,3.9022,0.0014,,0.01990000000000025,0.002051828452868319,,
30,Zn,64,34,-0.162,0.002,3.9283,0.0015,0.0003,,,0.08840000000000003,0.002580697580112788
30,,66,36,0.0,0.0,3.9491,0.0014,0.0,0.02079999999999993,0.002051828452868319,0.09189999999999987,0.002692582403567252
30,,67,37,0.032,0.003,3.9530000000000003,0.0027,0.0004,,,,
30,,68,38,0.131,0.002,3.9658,0.0014,0.0003,0.01670000000000016,0.001979898987322333,,
30,,70,40,0.28600000000000003,0.003,3.9845,0.0019,0.0004,0.01869999999999994,0.002360084744241189,,
31,Ga,69,38,,,3.9973,0.0017,,,,,
31,,71,40,,,4.0118,0.0018,,0.014499999999999957,0.002475883680627989,,
32,Ge,70,38,,,4.0414,0.0012,,,,0.07560000000000011,0.0018439088914585773
32,,72,40,,,4.0576,0.0013,,0.016199999999999548,0.0017691806012954132,0.07309999999999972,0.0023021728866442675
32,,73,41,,,4.0632,0.0014,,,,,
32,,74,42,,,4.0742,0.0012,,0.016600000000000392,0.0017691806012954132,,
32,,76,44,,,4.0811,0.0012,,0.006899999999999906,0.001697056274847714,,
33,As,75,42,,,4.0968,0.002,,,,,
34,Se,74,40,,,4.07,0.02,,,,0.01240000000000041,0.020042205467462906
34,,76,42,,,4.1395,0.0016,,0.06949999999999967,0.020063897926375123,0.06529999999999969,0.002
34,,77,43,,,4.1395,0.0018,,,,,
34,,78,44,,,4.1406,0.0017,,0.001100000000000101,0.0023345235059857505,0.059499999999999886,0.002080865204668481
34,,80,46,,,4.14,0.0018,,-0.000600000000000378,0.002475883680627989,,
34,,82,48,,,4.14,0.0019,,0.0,0.00261725046566048,,
35,Br,79,44,,,4.1629,0.0021,,,,,
35,,81,46,,,4.1599,0.0021,,-0.0029999999999992255,0.0029698484809834993,,
36,Kr,72,36,-0.168,0.018000000000000002,4.1635,0.006,0.0022,,,,
36,,74,38,0.03,0.005,4.187,0.0041,0.0006,0.0235000000000003,0.007267048919609665,,
36,,75,39,0.221,0.006999999999999999,4.2097,0.0041,0.0008,,,,
36,,76,40,0.156,0.004,4.202,0.0036,0.0005,0.01499999999999968,0.005456189146281496,0.13199999999999967,0.02032141727340886
36,,77,41,0.209,0.005,4.2082,0.0037,0.0006,-0.0015000000000000568,0.005522680508593631,,
36,,78,42,0.172,0.003,4.2038,0.0033,0.0004,0.0018000000000002458,0.004883646178829912,0.06430000000000025,0.0036674241641784493
36,,79,43,0.168,0.004,4.2034,0.0032,0.0005,-0.004799999999999471,0.004891829923454004,0.06390000000000029,0.003671511950137164
36,,80,44,0.114,0.006999999999999999,4.197,0.0029,0.0008,-0.006800000000000139,0.004393176527297759,0.056400000000000006,0.003361547262794322
36,,81,45,0.099,0.004,4.1952,0.0026,0.0005,-0.00820000000000043,0.00412310562561766,,
36,,82,46,0.071,0.003,4.1919,0.0025,0.0004,-0.00509999999999966,0.003828837943815329,0.05190000000000072,0.0030805843601498725
36,,83,47,0.031,0.003,4.1871,0.0023,0.0004,-0.008099999999999774,0.003471310991541956,,
36,,84,48,0.042,0.001,4.1884,0.0022,0.0001,-0.0035000000000007248,0.0033301651610693427,0.0484,0.0029068883707497268
36,,85,49,0.009000000000000001,0.004,4.1846,0.0022,0.0004,-0.002500000000000391,0.0031827660925679096,,
36,,86,50,0.0,0.0,4.1835,0.0021,0.0,-0.004899999999999238,0.00304138126514911,,
36,,87,51,0.125,0.003,4.1984,0.0027,0.0004,0.0138000000000007,0.0034828149534536,,
36,,88,52,0.282,0.004,4.2171,0.0043,0.0005,0.03359999999999985,0.0047853944456021594,,
36,,89,53,0.379,0.004,4.2286,0.0054,0.0005,0.030199999999999783,0.006037383539249433,,
36,,90,54,0.495,0.01,4.2423,0.0069,0.0012,0.02519999999999989,0.008130190649671139,,
36,,91,55,0.597,0.006,4.2543,0.0081,0.0007,0.025699999999999612,0.00973498844375277,,
36,,92,56,0.7509999999999999,0.005,4.2724,0.0099,0.0006,0.030100000000000016,0.01206731121667126,,
36,,93,57,0.8109999999999999,0.004,4.2794,0.0107,0.0005,0.025100000000000122,0.01342013412749664,,
36,,94,58,0.9890000000000001,0.004,4.3002,0.0129,0.0005,0.027800000000000047,0.016260996279441185,,
36,,95,59,1.045,0.003,4.3067,0.0136,0.0004,0.027300000000000324,0.017304623659588785,,
36,,96,60,1.217,0.01,4.3267,0.0158,0.0012,0.026499999999999524,0.020397303743387264,,
37,Rb,76,39,0.2241,0.027000000000000003,4.2273,0.006999999999999999,0.0032,,,,
37,,77,40,0.2884,0.0069,4.2356,0.008,0.0008,,,,
37,,78,41,0.3118,0.0023,4.2385,0.0083,0.0004,0.011200000000000543,0.010857716150277644,,
37,,79,42,0.2291,0.0023,4.2284,0.0065,0.0003,-0.007200000000000095,0.01030776406404415,,
37,,80,43,0.2207,0.0068,4.2271,0.0061,0.0008,-0.011400000000000077,0.010300485425454472,,
37,,81,44,0.17300000000000001,0.0022,4.2213,0.0051,0.0003,-0.00709999999999944,0.00826196102629394,0.058400000000000674,0.005515432893255071
37,,82,45,0.1347,0.0065,4.216,0.0042,0.0008,-0.011099999999999888,0.0074060785845142104,,
37,,83,46,0.0522,0.0015,4.2058,0.0028,0.0002,-0.015500000000000291,0.005818075283115543,0.04589999999999961,0.0035
37,,84,47,0.0079,0.0032,4.1999,0.0023,0.0004,-0.01609999999999978,0.004788527957525151,,
37,,85,48,0.0362,0.0022,4.2036,0.0024,0.0003,-0.002200000000000202,0.0036878177829171546,,
37,,86,49,0.0276,0.0031,4.2025,0.0023,0.0004,0.0025999999999992696,0.0032526911934581187,,
37,,87,50,0.0,0.0,4.1989,0.0021,0.0,-0.004699999999999704,0.0031890437438203945,,
37,,88,51,0.139,0.0078,4.217,0.0038,0.001,0.014499999999999957,0.004441846462902562,,
37,,89,52,0.3109,0.0031,4.2391,0.0074,0.0004,0.04019999999999957,0.007692203845452875,,
37,,90,53,0.43700000000000006,0.008,4.2554,0.0102,0.001,0.03840000000000021,0.010884851859350224,,
37,,91,54,0.5685,0.0035,4.2723,0.0131,0.0007,0.033200000000000784,0.015045597362683877,,
37,,92,55,0.7094,0.008,4.2903,0.0163,0.001,0.034900000000000375,0.01922836446502926,,
37,,93,56,0.934,0.0035,4.3048,0.0187,0.001,0.03249999999999975,0.022831995094603538,,
37,,94,57,1.0984,0.0056,4.3184,0.0211,0.0011,0.028099999999999348,0.026662708039507165,,
37,,95,58,1.1856,0.0074,4.3391,0.0248,0.0014,0.0343,0.031060103026229646,,
37,,96,59,1.7719,0.0062,4.3501,0.0267,0.0015,0.03170000000000073,0.03403086834037592,,
37,,97,60,1.8553,0.015,4.4231,0.0395,0.0023,0.08399999999999963,0.04664000428816447,,
37,,98,61,1.8553,0.015,4.4336,0.0414,0.0024,0.08349999999999991,0.049263069331904205,,
38,Sr,77,39,0.253,0.012,4.2569,0.0044,0.0014,,,0.04720000000000013,0.006014149981501958
38,,78,40,0.247,0.008,4.2561,0.004,0.0009,,,0.05410000000000004,0.005381449618829484
38,,79,41,0.266,0.006,4.2586,0.0039,0.0007,0.001700000000000479,0.00587962583843564,0.050400000000000666,0.005375872022286244
38,,80,42,0.248,0.006999999999999999,4.2562,0.0037,0.0008,9.999999999976694e-05,0.0054488530903301115,0.05239999999999956,0.004957822102496216
38,,81,43,0.23600000000000002,0.006,4.2547,0.0034,0.0007,-0.0039000000000006807,0.005173973328110612,0.05129999999999946,0.004669047011971501
38,,82,44,0.182,0.006,4.2478,0.003,0.0007,-0.008399999999999963,0.004763402145525821,0.050799999999999734,0.004172529209005012
38,,83,45,0.165,0.004,4.2455,0.0027,0.0005,-0.009199999999999875,0.004341658669218482,0.05030000000000001,0.003748332962798262
38,,84,46,0.11800000000000001,0.003,4.2394,0.0024,0.0004,-0.008399999999999963,0.003841874542459709,0.04749999999999943,0.003465544690232691
38,,85,47,0.049,0.003,4.2304,0.0021,0.0004,-0.015099999999999447,0.003420526275297414,0.04330000000000034,0.0031144823004794872
38,,86,48,0.051,0.002,4.2307,0.002,0.0002,-0.008700000000000152,0.0031240998703626613,0.042300000000000004,0.0029732137494637013
38,,87,49,0.006999999999999999,0.002,4.2249,0.0019,0.0002,-0.0055000000000005045,0.002831960451701259,0.040300000000000225,0.0029068883707497268
38,,88,50,0.0,0.0,4.224,0.0018,0.0,-0.006699999999999484,0.002690724809414742,0.04049999999999976,0.002765863337187866
38,,89,51,0.126,0.001,4.2407,0.0023,0.0001,0.01580000000000048,0.0029832867780352594,0.042300000000000004,0.00354682957019364
38,,90,52,0.282,0.004,4.2611,0.0037,0.0005,0.03709999999999969,0.0041146081222881966,0.043999999999999595,0.005672741841473134
38,,91,53,0.381,0.003,4.274,0.0046,0.0004,0.03329999999999966,0.005142956348249517,0.045399999999999885,0.00709365914038728
38,,92,54,0.522,0.005,4.2924,0.0064,0.0006,0.031299999999999883,0.007392563831310488,0.05009999999999959,0.009411163583744574
38,,93,55,0.601,0.004,4.3026,0.0075,0.0005,0.02859999999999996,0.008798295289429652,0.04830000000000023,0.011039021695784459
38,,94,56,0.728,0.006,4.3191,0.0091,0.0007,0.026699999999999946,0.011125196627475848,0.04669999999999952,0.013446932735757996
38,,95,57,0.8170000000000001,0.005,4.3305,0.0102,0.0006,0.027899999999999814,0.012660568707605516,0.05109999999999992,0.014782760229402355
38,,96,58,0.986,0.006,4.3522,0.0125,0.0007,0.03310000000000013,0.015461565250646521,0.0519999999999996,0.017962739212046698
38,,97,59,1.067,0.006999999999999999,4.3625,0.0135,0.0009,0.03200000000000003,0.01692010638264429,0.05579999999999963,0.01916272423221709
38,,98,60,1.656,0.006,4.4377,0.0214,0.0008,0.08550000000000058,0.02478326047960599,0.11100000000000065,0.026600751869073173
38,,99,61,1.75,0.008,4.4495,0.0226,0.0011,0.08699999999999974,0.02632508309578528,,
38,,100,62,1.867,0.015,4.4639999999999995,0.024,0.0019,0.026299999999999102,0.03215524840519818,,
39,Y,86,47,0.071,0.003,4.2513,0.0023,0.0008,,,0.051399999999999224,0.0032526911934581187
39,,87,48,0.057999999999999996,0.002,4.2498,0.0022,0.0007,,,0.0461999999999998,0.003255764119219941
39,,88,49,0.009000000000000001,0.001,4.2441,0.0021,0.0001,-0.007199999999999207,0.0031144823004794872,0.04160000000000075,0.0031144823004794872
39,,89,50,0.0,0.0,4.243,0.0021,0.0,-0.006799999999999251,0.00304138126514911,0.04410000000000025,0.0029698484809834993
39,,90,51,0.12300000000000001,0.001,4.2573,0.0026,0.0014,0.013199999999999434,0.0033421549934136807,0.040300000000000225,0.004604345773288535
39,,92,53,0.39299999999999996,0.001,4.2887,0.005,0.0045,0.03140000000000054,0.0056356011214421485,0.03330000000000055,0.011359577456930342
39,,93,54,0.537,0.002,4.3052,0.0065,0.0061,,,0.03289999999999971,0.014623952953972466
39,,94,55,0.614,0.001,4.3142,0.0074,0.006999999999999999,0.02549999999999919,0.008930845424706443,0.023899999999999366,0.017901117283566408
39,,95,56,0.738,0.002,4.3284,0.0087,0.0083,0.02320000000000011,0.010860018416190645,0.023600000000000065,0.020624742422634037
39,,96,57,0.84,0.001,4.3402,0.0099,0.0095,0.02600000000000069,0.012360016181219182,0.021800000000000708,0.023307080469247968
39,,97,58,0.996,0.002,4.3580000000000005,0.0116,0.0112,0.029600000000000293,0.014499999999999999,0.01890000000000036,0.027378823933836165
39,,98,59,1.11,0.001,4.3711,0.0129,0.0124,0.030899999999999928,0.016260996279441185,0.020999999999999908,0.029652993103563764
39,,99,60,1.943,0.001,4.4658,0.0223,0.0213,0.10779999999999923,0.02513662666309861,0.04269999999999996,0.04536011463830311
39,,100,61,1.985,0.001,4.4705,0.0228,0.0218,0.09940000000000015,0.026196373794859472,0.036900000000000155,0.047263093423939154
39,,101,62,2.127,0.001,4.4863,0.0244,0.0232,0.020500000000000185,0.03305525676802405,,
39,,102,63,2.173,0.002,4.4911,0.0249,0.0237,0.02059999999999995,0.03376166465090251,,
40,Zr,87,47,0.059000000000000004,0.005,4.2789,0.003,0.0006,,,0.048499999999999766,0.003661966684720111
40,,88,48,0.061,0.005,4.2787,0.0025,0.0006,,,0.04800000000000004,0.0032015621187164245
40,,89,49,0.006,0.005,4.2706,0.001,0.0006,-0.008300000000000196,0.0031622776601683794,0.045700000000000074,0.0021470910553583887
40,,90,50,0.0,0.0,4.2694,0.001,0.0,-0.009299999999999642,0.002692582403567252,0.045399999999999885,0.0020591260281974002
40,,91,51,0.132,0.003,4.2845,0.0013,0.0011,0.013900000000000468,0.0016401219466856724,0.04380000000000006,0.0026419689627245812
40,,92,52,0.314,0.004,4.3057,0.0013,0.0025,0.03629999999999978,0.0016401219466856724,0.04459999999999997,0.003921734310225516
40,,94,54,0.546,0.003,4.332,0.0013,0.0032,0.02629999999999999,0.0018384776310850235,0.03960000000000008,0.006530696746902279
40,,96,56,0.72,0.006,4.3512,0.0015,0.0034,0.01920000000000055,0.0019849433241279205,0.032100000000000684,0.009222797840135064
40,,97,57,0.835,0.005,4.3792,0.0136,0.0006,,,0.04870000000000019,0.016999999999999998
40,,98,58,1.002,0.005,4.4012,0.0164,0.0006,0.04999999999999982,0.016468454693747074,0.04900000000000038,0.020620620747203517
40,,99,59,1.113,0.004,4.4156,0.0181,0.0006,0.03640000000000043,0.02264000883392054,0.05310000000000059,0.022580079716422615
40,,100,60,1.669,0.004,4.4891,0.0289,0.0006,0.08789999999999942,0.03322905355257655,0.051399999999999224,0.03596067296366963
40,,101,61,1.847,0.005,4.5119,0.0318,0.0007,0.09629999999999939,0.03659029926086968,0.06240000000000023,0.03901281840626232
40,,102,62,1.983,0.005,4.5292,0.034,0.0008,0.04010000000000069,0.044622976144582736,0.06520000000000081,0.041617304093369625
41,Nb,90,49,-0.301,0.004,4.2891,0.004,0.0004,,,0.04499999999999993,0.004517742799230607
41,,91,50,-0.312,0.001,4.2878,0.004,0.0001,,,0.04479999999999951,0.004517742799230607
41,,92,51,-0.185,0.002,4.3026,0.0043,0.0003,0.013499999999999623,0.00587281874401041,0.04530000000000012,0.005024937810560445
41,,93,52,0.0,0.0,4.324,0.0017,0.0,0.03620000000000001,0.004346262762420146,,
